#{"t_start": 1789168584.9362738, "env_id": "AdroitHandDoor-v1"}
r,l,t
-45.944134,200,920.39985
-47.147328,200,921.575879
-43.936022,200,922.7498
-48.027287,200,923.950346
-49.482512,200,925.121718
-46.15134,200,926.395722
-46.757674,200,927.560738
-46.190557,200,928.717639
-44.555384,200,929.866208
-45.383917,200,930.998926
-45.448741,200,932.170079
-43.80866,200,933.318232
-45.008719,200,934.47517
-46.237858,200,935.639236
-45.996104,200,936.786755
-45.368807,200,937.931358
-44.74479,200,939.068209
-44.040899,200,940.550801
-43.905757,200,941.676991
-41.755908,200,942.829158
-41.692648,200,943.974102
-41.142095,200,945.106745
-41.475453,200,946.230501
-43.783161,200,947.363936
-43.181758,200,948.521928
-42.575783,200,949.676445
-44.538877,200,950.822782
1736.2807,200,951.954871
-47.847171,200,953.092924
-48.216657,200,954.220676
-45.67885,200,955.360924
-48.110218,200,956.484695
-45.716854,200,957.680191
-39.982257,200,958.829623
-46.831695,200,959.968922
-44.344526,200,961.108995
-46.56118,200,962.280246
-46.899536,200,963.400807
-45.978219,200,964.566512
-28.088119,200,965.69399
-49.257068,200,966.815943
-46.616403,200,967.933823
-46.745839,200,969.055226
-47.942659,200,970.171814
-45.154515,200,971.290554
-43.293257,200,972.402905
-46.249763,200,973.538013
-43.797903,200,974.646748
-46.529017,200,975.763325
-4.856008,200,976.905585
-46.915387,200,978.021133
151.140898,200,979.134927
209.013197,200,980.245148
1373.563987,200,981.360801
3073.129498,200,982.462643
-43.110948,200,983.576961
-43.296103,200,984.700857
322.235559,200,985.8146
-44.488156,200,986.971595
-35.04206,200,988.076144
1125.638122,200,989.204148
2399.047167,200,990.312702
128.438646,200,991.44296
-44.514753,200,992.560128
272.42535,200,993.68147
-48.333666,200,994.796136
-47.558844,200,995.91181
299.128143,200,997.028262
182.720032,200,998.170586
-45.130251,200,999.365247
-44.399888,200,1000.553196
-47.463097,200,1001.701195
-47.563637,200,1002.855357
-44.485785,200,1004.05811
-44.142511,200,1005.223812
-43.858046,200,1006.3688
-43.352229,200,1007.499977
-45.542275,200,1008.616416
-45.691131,200,1009.733708
-43.116469,200,1010.832456
-42.394863,200,1011.932725
-42.856927,200,1013.035102
-41.305521,200,1014.142346
-42.624014,200,1015.242985
-42.413527,200,1016.349679
-42.548847,200,1017.459665
-41.944933,200,1018.564308
-42.658925,200,1019.664808
-43.302601,200,1020.774406
-42.122798,200,1021.87204
-42.884974,200,1022.969071
-30.620354,200,1024.073468
-44.331403,200,1025.176327
-43.728272,200,1026.276949
