#{"t_start": 1789220522.800371, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-5.541944,50,20.727371,0.0
-5.079848,50,20.762883,0.0
-4.964249,50,20.797958,0.0
-5.971698,50,20.832988,0.0
-5.574196,50,20.86834,0.0
-5.45432,50,20.903532,0.0
-5.60841,50,20.939169,0.0
-5.318108,50,20.974599,0.0
-4.809503,50,21.009814,0.0
-5.640681,50,21.045053,0.0
-5.52263,50,21.080467,0.0
-5.783809,50,21.115382,0.0
-6.245601,50,21.150618,0.0
-4.685535,50,21.185637,0.0
-5.646121,50,21.220702,0.0
-6.192632,50,21.256111,0.0
-4.991144,50,21.291618,0.0
-5.824649,50,21.326857,0.0
-5.834427,50,21.362135,0.0
-6.188066,50,21.397294,0.0
-4.997551,50,21.432418,0.0
-5.635609,50,21.467805,0.0
-6.112657,50,21.502748,0.0
-5.126045,50,21.538597,0.0
-5.571263,50,21.574057,0.0
-6.119732,50,21.609123,0.0
-5.516314,50,21.644299,0.0
-5.74789,50,21.794368,0.0
-5.661824,50,21.829688,0.0
-5.26892,50,21.86476,0.0
-5.325656,50,21.899872,0.0
-6.031292,50,21.935318,0.0
-4.961626,50,21.970615,0.0
-5.262226,50,22.005939,0.0
-5.586513,50,22.040849,0.0
-5.483977,50,22.075813,0.0
-5.527499,50,22.111182,0.0
-5.621816,50,22.146301,0.0
-5.17722,50,22.181263,0.0
-5.755674,50,22.216861,0.0
-5.099885,50,22.252199,0.0
-5.499511,50,22.287856,0.0
-5.446587,50,22.323269,0.0
-5.554288,50,22.35848,0.0
-5.754598,50,22.393744,0.0
-5.701147,50,22.428765,0.0
-5.976529,50,22.463745,0.0
-6.523882,50,22.499111,0.0
-5.363926,50,22.534832,0.0
-5.362997,50,22.570029,0.0
-5.609381,50,22.605694,0.0
-4.688289,50,22.640617,0.0
-6.194211,50,22.675644,0.0
-5.964188,50,22.711111,0.0
-5.276445,50,22.747422,0.0
-5.399555,50,22.783094,0.0
-5.29076,50,22.818844,0.0
-5.567026,50,22.853962,0.0
-6.239356,50,22.889277,0.0
-6.166249,50,22.924743,0.0
-5.110945,50,22.959879,0.0
-5.801827,50,22.99538,0.0
-5.879944,50,23.030906,0.0
-5.882826,50,23.066096,0.0
-4.978777,50,23.101542,0.0
-5.647303,50,23.137044,0.0
-5.325543,50,23.172033,0.0
-4.903367,50,23.20784,0.0
-5.138046,50,23.356777,0.0
-5.94544,50,23.392377,0.0
-5.603132,50,23.427857,0.0
-5.551688,50,23.462985,0.0
-5.709491,50,23.498139,0.0
-5.743524,50,23.533314,0.0
-5.632898,50,23.568136,0.0
-5.430891,50,23.603139,0.0
-6.188561,50,23.638096,0.0
-5.00372,50,23.67291,0.0
-5.852975,50,23.708102,0.0
-5.263996,50,23.744741,0.0
-5.367221,50,23.780097,0.0
-5.456353,50,23.815314,0.0
-6.37661,50,23.85023,0.0
-5.753968,50,23.885566,0.0
-5.014156,50,23.920765,0.0
-6.078241,50,23.955815,0.0
-5.622949,50,23.990904,0.0
-6.415322,50,24.025888,0.0
-5.85989,50,24.061316,0.0
-5.857956,50,24.096084,0.0
-5.64941,50,24.131067,0.0
-5.407756,50,24.166118,0.0
-6.215339,50,24.201135,0.0
-5.493931,50,24.236018,0.0
-5.307843,50,24.270968,0.0
-5.765069,50,24.306107,0.0
-5.86677,50,24.341305,0.0
-5.201194,50,24.376311,0.0
-5.37587,50,24.411121,0.0
-5.367047,50,24.446118,0.0
-6.257672,50,24.481419,0.0
-4.347823,50,24.5168,0.0
-5.494752,50,24.552453,0.0
-5.513587,50,24.588014,0.0
-4.896237,50,24.62477,0.0
-5.699519,50,24.66058,0.0
-6.049133,50,24.69564,0.0
-4.653147,50,24.730999,0.0
-6.034993,50,24.766594,0.0
-5.345911,50,24.915344,0.0
-5.06401,50,24.950982,0.0
-5.573198,50,24.98616,0.0
-5.888743,50,25.02177,0.0
-6.166958,50,25.057762,0.0
-5.761661,50,25.093301,0.0
-5.196964,50,25.128838,0.0
-6.340397,50,25.164532,0.0
-5.723677,50,25.199679,0.0
-5.726157,50,25.23465,0.0
-5.648478,50,25.270465,0.0
-5.03592,50,25.305788,0.0
-5.413985,50,25.341228,0.0
-5.376253,50,25.376577,0.0
-5.60668,50,25.411813,0.0
-6.072392,50,25.447276,0.0
-5.960683,50,25.482091,0.0
-5.761893,50,25.517011,0.0
-5.926267,50,25.55331,0.0
-5.695005,50,25.589205,0.0
-6.278936,50,25.624784,0.0
-5.407488,50,25.660083,0.0
-4.998033,50,25.695665,0.0
-5.578707,50,25.730946,0.0
-5.186733,50,25.766917,0.0
-5.521493,50,25.802672,0.0
-5.993072,50,25.838191,0.0
-5.541779,50,25.873805,0.0
-5.721769,50,25.909122,0.0
-5.057425,50,25.944635,0.0
-5.461641,50,25.97989,0.0
-6.340042,50,26.015023,0.0
-5.600373,50,26.050205,0.0
-5.910856,50,26.085336,0.0
-5.540157,50,26.120461,0.0
-5.551107,50,26.155285,0.0
-5.202925,50,26.191052,0.0
-5.729128,50,26.226577,0.0
-5.738776,50,26.262261,0.0
-5.976168,50,26.297606,0.0
-5.324336,50,26.333272,0.0
-5.967636,50,26.481757,0.0
-4.339935,50,26.517119,0.0
-5.128776,50,26.552531,0.0
-5.359675,50,26.587926,0.0
-5.339704,50,26.623097,0.0
-5.546896,50,26.658482,0.0
-5.7372,50,26.693365,0.0
-5.354302,50,26.728768,0.0
-5.442117,50,26.763852,0.0
-5.850365,50,26.798817,0.0
-5.858724,50,26.834252,0.0
-5.669997,50,26.869851,0.0
-5.285127,50,26.904746,0.0
-6.561921,50,26.93997,0.0
-5.36791,50,26.975266,0.0
-6.149405,50,27.010181,0.0
-4.646436,50,27.045352,0.0
-5.067477,50,27.080496,0.0
-5.463396,50,27.115791,0.0
-4.888133,50,27.151703,0.0
-5.499001,50,27.187032,0.0
-5.501644,50,27.22258,0.0
-4.239141,50,27.257945,0.0
-6.163677,50,27.292839,0.0
-5.832694,50,27.328966,0.0
-6.247433,50,27.36463,0.0
-4.770935,50,27.399987,0.0
-4.962294,50,27.435388,0.0
-5.156693,50,27.470476,0.0
-6.031664,50,27.50561,0.0
-4.86136,50,27.541155,0.0
-5.75453,50,27.576593,0.0
-5.165968,50,27.611898,0.0
-5.985282,50,27.647223,0.0
-6.1283,50,27.682219,0.0
-5.607696,50,27.717191,0.0
-5.795206,50,27.752962,0.0
-5.416647,50,27.788544,0.0
-5.824188,50,27.823726,0.0
-5.418022,50,27.859105,0.0
-5.937286,50,27.894185,0.0
-5.888375,50,28.042215,0.0
-4.442361,50,28.077589,0.0
-6.292222,50,28.11305,0.0
-6.466403,50,28.147607,0.0
-5.765499,50,28.183198,0.0
-5.764161,50,28.218813,0.0
-4.596108,50,28.254254,0.0
-6.1194,50,28.289654,0.0
-5.959823,50,28.324736,0.0
-5.308308,50,28.359946,0.0
-5.018871,50,28.395318,0.0
-5.522402,50,28.431183,0.0
-6.274123,50,28.466284,0.0
-5.298559,50,28.501704,0.0
-5.516874,50,28.537048,0.0
-5.499957,50,28.572894,0.0
-5.473766,50,28.609048,0.0
-5.648552,50,28.64472,0.0
-5.580122,50,28.679842,0.0
-4.470604,50,28.715403,0.0
-5.002804,50,28.750464,0.0
-4.746327,50,28.785667,0.0
-5.399929,50,28.821247,0.0
-5.371538,50,28.856892,0.0
-5.781419,50,28.891956,0.0
-5.12371,50,28.927335,0.0
-4.87891,50,28.962791,0.0
-5.972381,50,28.998,0.0
-5.076411,50,29.033176,0.0
-5.540772,50,29.068341,0.0
-4.256838,50,29.103651,0.0
-5.614509,50,29.139581,0.0
-5.62567,50,29.174835,0.0
-5.910126,50,29.210476,0.0
-5.329275,50,29.245599,0.0
-6.40537,50,29.280661,0.0
-5.309332,50,29.315672,0.0
-5.49112,50,29.351207,0.0
-6.035206,50,29.386191,0.0
-5.347175,50,29.42127,0.0
-5.492319,50,29.456575,0.0
-5.844027,50,29.607462,0.0
-5.482703,50,29.643516,0.0
-5.737893,50,29.679165,0.0
-5.375504,50,29.714785,0.0
-5.226869,50,29.750203,0.0
-4.883652,50,29.78574,0.0
-4.628216,50,29.820914,0.0
-5.797247,50,29.857075,0.0
-5.351255,50,29.892535,0.0
-5.366703,50,29.928112,0.0
-5.948392,50,29.963285,0.0
-5.511052,50,29.998822,0.0
-5.167158,50,30.034078,0.0
-5.525104,50,30.069783,0.0
-5.332254,50,30.105831,0.0
-4.833534,50,30.141388,0.0
-6.591675,50,30.176642,0.0
-5.487286,50,30.212352,0.0
-4.157972,50,30.248255,0.0
-5.033641,50,30.283551,0.0
-4.461948,50,30.318898,0.0
-4.999532,50,30.354221,0.0
-5.619953,50,30.389751,0.0
-5.806483,50,30.424827,0.0
-5.31919,50,30.459827,0.0
-4.974564,50,30.494883,0.0
-5.755001,50,30.530126,0.0
-5.277343,50,30.565428,0.0
-5.843543,50,30.600397,0.0
-5.784407,50,30.635658,0.0
-5.458643,50,30.672248,0.0
-5.549299,50,30.710039,0.0
